Date,Open,High,Low,Close,Adj Close,Volume
2006-02-06,126.440002,126.800003,126.169998,126.599998,92.715385,45511900
2006-02-07,126.379997,126.660004,125.400002,125.480003,91.895157,71208100
2006-02-08,125.849998,128.100006,125.599998,126.620003,92.730011,59422200
2006-02-09,126.919998,127.599998,126.370003,126.410004,92.576225,62023300
2006-02-10,126.430000,127.129997,125.449997,126.639999,92.744667,64508700
2006-02-13,126.599998,126.790001,125.949997,126.410004,92.576225,52308700
2006-02-14,126.459999,128.029999,126.209999,127.750000,93.557587,90964400
2006-02-15,127.680000,128.320007,127.239998,128.199997,93.887161,85471300
2006-02-16,128.339996,129.210007,128.179993,129.160004,94.590225,61017900
2006-02-17,129.050003,129.160004,128.580002,128.809998,94.333870,40342600
2006-02-21,129.110001,129.399994,128.289993,128.490005,94.099533,46456300
2006-02-22,128.770004,129.649994,128.649994,129.270004,94.670761,42326700
2006-02-23,129.270004,129.639999,128.279999,129.080002,94.531631,43423200
2006-02-24,129.110001,129.479996,128.759995,129.410004,94.773262,36777400
2006-02-27,129.399994,130.039993,129.279999,129.460007,94.809891,35858600
2006-02-28,129.199997,129.910004,128.130005,128.229996,93.909111,74394800
2006-03-01,128.600006,129.490005,128.500000,129.369995,94.743996,48641600
2006-03-02,128.899994,129.419998,128.610001,129.360001,94.736641,60642300
2006-03-03,128.669998,130.070007,128.649994,128.759995,94.297256,73402500
2006-03-06,129.139999,129.179993,127.849998,128.169998,93.865135,57478400
2006-03-07,127.860001,128.059998,127.400002,127.970001,93.718697,61780800
2006-03-08,127.699997,128.440002,127.180000,128.240005,93.916420,66692400
2006-03-09,128.279999,128.679993,127.379997,127.379997,93.286591,56313600
2006-03-10,127.709999,128.839996,127.440002,128.589996,94.172722,60490800
2006-03-13,128.839996,129.160004,128.529999,128.830002,94.348511,45479100
2006-03-14,128.710007,130.229996,128.610001,130.179993,95.337166,69877300
2006-03-15,130.149994,130.860001,129.850006,130.759995,95.761932,53398900
2006-03-16,131.009995,131.470001,130.839996,131.029999,95.959686,65526400
2006-03-17,130.679993,130.899994,130.380005,130.619995,96.039825,47286800
2006-03-20,130.639999,130.899994,130.210007,130.410004,95.885422,45538500
2006-03-21,130.369995,130.990005,129.449997,129.589996,95.282501,87102700
2006-03-22,129.509995,130.509995,129.449997,130.380005,95.863365,51605700
2006-03-23,130.259995,130.389999,129.660004,130.110001,95.664825,46704200
2006-03-24,129.990005,130.570007,129.740005,130.210007,95.738380,43209200
2006-03-27,130.029999,130.279999,129.740005,130.020004,95.598686,32523000
2006-03-28,129.929993,130.529999,129.050003,129.220001,95.010429,82079900
2006-03-29,129.410004,130.500000,129.289993,130.029999,95.606026,61505700
2006-03-30,130.110001,130.979996,129.550003,129.800003,95.436905,70571700
2006-03-31,130.020004,130.240005,129.369995,129.830002,95.458969,62925600
2006-04-03,130.070007,130.869995,129.490005,129.729996,95.385445,61624700
2006-04-04,129.729996,130.729996,129.360001,130.559998,95.995689,54809300
2006-04-05,130.610001,131.279999,130.380005,131.009995,96.326561,50607200
2006-04-06,130.850006,131.210007,130.190002,130.869995,96.223625,57906200
2006-04-07,131.059998,131.399994,129.350006,129.539993,95.245712,80180900
2006-04-10,129.740005,130.080002,129.259995,129.740005,95.392792,41496500
2006-04-11,129.850006,130.059998,128.250000,128.639999,94.584000,72799400
2006-04-12,128.770004,129.130005,128.610001,128.880005,94.760460,43033700
2006-04-13,128.589996,129.250000,128.309998,128.710007,94.635483,51051800
2006-04-17,128.830002,129.309998,128.020004,128.660004,94.598709,64167700
2006-04-18,128.929993,130.940002,128.929993,130.699997,96.098656,92531800
2006-04-19,130.750000,131.070007,130.240005,130.949997,96.282463,87269000
2006-04-20,131.000000,131.860001,130.600006,131.130005,96.414803,86005500
2006-04-21,131.690002,131.789993,130.619995,131.149994,96.429497,72342600
2006-04-24,130.889999,131.070007,130.380005,130.910004,96.253052,52546400
2006-04-25,131.039993,131.119995,129.919998,130.369995,95.855995,84359800
2006-04-26,130.500000,131.139999,130.300003,130.399994,95.878036,67262400
2006-04-27,129.899994,131.630005,129.589996,131.029999,96.341278,124478600
2006-04-28,130.789993,131.750000,130.710007,131.470001,96.664787,55854400
2006-05-01,131.470001,131.800003,130.320007,130.399994,95.878036,64990300
2006-05-02,131.009995,131.460007,130.740005,131.380005,96.598625,49063500
2006-05-03,131.149994,131.320007,130.449997,130.889999,96.238342,60821300
2006-05-04,131.080002,131.619995,130.970001,131.360001,96.583923,42921400
2006-05-05,132.050003,132.800003,131.850006,132.520004,97.436829,62588200
2006-05-08,132.509995,132.770004,132.360001,132.360001,97.319191,30016700
2006-05-09,132.419998,132.770004,132.309998,132.619995,97.510345,29864000
2006-05-10,132.410004,132.750000,131.889999,132.550003,97.458878,64378200
2006-05-11,132.509995,132.550003,130.520004,130.949997,96.282463,80626900
2006-05-12,130.360001,130.720001,129.190002,129.240005,95.025185,91726500
2006-05-15,128.789993,129.740005,128.610001,129.500000,95.216331,84029300
2006-05-16,129.759995,130.000000,129.009995,129.309998,95.076630,62137600
2006-05-17,128.669998,129.100006,126.769997,126.849998,93.267891,144789500
2006-05-18,127.349998,127.750000,126.110001,126.209999,92.797333,87906300
2006-05-19,126.870003,127.489998,125.800003,127.099998,93.451691,124309400
2006-05-22,126.279999,127.169998,125.500000,126.129997,92.738472,110852800
2006-05-23,127.180000,127.629997,125.169998,125.169998,92.032623,92006500
2006-05-24,125.680000,126.889999,124.760002,126.169998,92.767929,168405000
2006-05-25,126.919998,127.730003,126.430000,127.730003,93.914925,78977900
